"name","time","Car","temp","pH","EC","t","chlla","S","TDS","GROUP"
"日月潭水庫三","2017/1/17 上午 10:45:00",42,"21.4","8.4","403","2.9","2","0.016","3",2
"日月潭水庫四","2017/4/11 上午 09:45:00",39,"23.6","8.4","397","3.2","1.6","0.011","2.6",1
"日月潭水庫四","2017/3/8 上午 09:45:00",40,"18.5","8.3","414","2.6","1.4","0.011","1.5",2
"日月潭水庫四","2017/2/13 上午 09:25:00",37,"20.4","8.3","418","3.6","2","0.007","1.7",1
"日月潭水庫四","2017/1/17 上午 09:50:00",39,"21.6","8.3","402","2.8","1.2","0.011","1.3",1
"日月潭水庫五","2017/4/11 上午 09:54:00",38,"23.2","8.5","394","3.9","1.8","0.01","1.4",1
"日月潭水庫五","2017/3/8 上午 09:57:00",39,"18.6","8.3","390","2.3","1.2","0.01","1.3",1
"日月潭水庫五","2017/2/13 上午 09:44:00",39,"20.3","8.4","420","3.4","1.8","0.011","1.8",1
"日月潭水庫五","2017/1/17 上午 10:05:00",41,"21.6","8.3","404","2.8","1.9","0.012","1.4",2
"頭社水庫","2017/2/13 下午 01:50:00",46,"19.1","8.2","186","1.6","3.1","0.015","6",2
"霧社水庫一","2017/4/12 上午 09:40:00",44,"21.7","8.5","350","1.3","2.3","0.01","4",2
"霧社水庫一","2017/3/9 上午 10:00:00",48,"17.5","8.1","445","0.8","1.4","0.021","5.2",2
"霧社水庫一","2017/2/8 上午 10:00:00",38,"19.4","8.4","411","4","1.4","0.012","1.1",1
"霧社水庫一","2017/1/18 上午 09:35:00",36,"19.9","8.3","390","4.8","1.6","0.008","0.55",1
"霧社水庫二","2017/4/12 上午 10:23:00",57,"21.3","8.5","331","0.7","14.1","0.023","14",3
"霧社水庫二","2017/3/9 上午 10:36:00",49,"17.2","8.2","396","0.7","1.1","0.023","5.2",2
"霧社水庫二","2017/2/8 上午 10:54:00",32,"20.1","8.5","412","4.2","0.5","0.008","0.85",1
"霧社水庫二","2017/1/18 上午 10:15:00",37,"19.6","8.3","387","4.7","1.9","0.009","0.9",1
"霧社水庫三","2017/2/8 上午 11:22:00",40,"19.8","8.4","413","3.8","1.9","0.014","0.95",2
"霧社水庫三","2017/1/18 上午 10:40:00",36,"19.7","8.4","386","3.8","1.7","0.007","0.8",1
"德基水庫一","2017/4/20 上午 09:00:00",43,"18.6","8.2","269","1.4","1.7","0.01","3.6",2
"德基水庫一","2017/3/2 上午 09:20:00",39,"15.1","8","297","3.3","1.5","0.012","0.75",1
"德基水庫一","2017/2/9 上午 08:50:00",39,"14.8","8.2","264","4.6","2.8","0.011","1.3",1
"德基水庫一","2017/1/10 上午 09:10:00",37,"14.4","8","257","2.6","1.3","0.007","0.75",1
"德基水庫二","2017/4/20 上午 09:44:00",44,"18.5","8.3","275","1.6","2.6","0.01","3.3",2
"德基水庫二","2017/3/2 上午 10:08:00",38,"14.9","8.1","244","3","1.3","0.01","1.1",1
"德基水庫二","2017/2/9 上午 09:46:00",38,"15.4","8.2","262","4.8","2.9","0.008","1.2",1
"德基水庫二","2017/1/10 上午 09:50:00",38,"15.3","8","245","3.6","1.6","0.009","0.65",1
"德基水庫三","2017/4/20 上午 10:22:00",47,"18.9","8.3","283","1.1","3.7","0.012","6.8",2
"德基水庫三","2017/3/2 上午 10:53:00",43,"15.1","8.2","256","1.6","1.1","0.015","3.9",2
"德基水庫三","2017/2/9 上午 10:54:00",40,"15.6","8.2","263","3.6","3","0.01","0.95",2
"德基水庫三","2017/1/10 上午 10:28:00",37,"15.8","8.3","251","3.8","1.9","0.008","0.7",1
"德基水庫四","2017/4/20 上午 10:53:00",55,"19","8.2","296","0.6","5.1","0.028","16",3
"德基水庫四","2017/3/2 上午 11:25:00",54,"16.3","8.2","273","0.4","1.7","0.03","18",3
"德基水庫四","2017/2/9 上午 11:30:00",53,"15.6","8.3","280","1","4.8","0.029","7.5",3
"德基水庫四","2017/1/10 上午 10:56:00",45,"16.4","8.3","250","2.4","2.4","0.02","1.4",2
"鯉魚潭水庫一","2017/4/19 上午 09:45:00",47,"26.7","8.9","311","1.8","2.9","0.02","2",2
"鯉魚潭水庫一","2017/3/1 上午 10:07:00",43,"19.9","8.2","329","3","2.1","0.02","1.2",2
"鯉魚潭水庫一","2017/2/7 上午 10:50:00",45,"20.9","8.4","349","3","3.5","0.019","1.8",2
"鯉魚潭水庫一","2017/1/9 上午 09:52:00",37,"21.7","8.6","329","2.9","2.2","0.005","1",1
"鯉魚潭水庫二","2017/4/19 上午 09:22:00",44,"26.3","8.8","316","1.9","2.2","0.015","1.7",2
"鯉魚潭水庫二","2017/3/1 上午 09:46:00",41,"19.6","8.1","332","3.2","2.1","0.015","1",2
"鯉魚潭水庫二","2017/2/7 上午 10:16:00",42,"20.3","8.4","348","3.2","2.9","0.014","1.3",2
"鯉魚潭水庫二","2017/1/9 上午 09:30:00",39,"21","8.4","339","2.8","4.4","0.005","1.3",1
"鯉魚潭水庫三","2017/4/19 上午 09:00:00",45,"26.8","8.8","317","1.8","2.4","0.015","2",2
"鯉魚潭水庫三","2017/3/1 上午 09:06:00",43,"19.2","8","401","3","2.2","0.018","1.1",2
"鯉魚潭水庫三","2017/2/7 上午 09:28:00",44,"19.9","8.4","368","3","4.1","0.016","1.1",2
