time,tds,temp,ec,pH
2017/9/11 19:18:49,7.9,31,146.8,6.2785
2017/9/11 19:18:50,7.9,31,146.9,6.2794
2017/9/11 19:18:51,7.9,31,146.8,6.2606
2017/9/11 19:18:52,7.9,31,146.8,6.2691
2017/9/11 19:18:53,7.9,31,146.7,6.2767
2017/9/11 19:18:54,7.9,31,146.7,6.2779
2017/9/11 19:18:55,7.9,31,146.7,6.2829
2017/9/11 19:18:56,7.9,31,146.8,6.2674
2017/9/11 19:18:57,7.9,31,146.9,6.2604
2017/9/11 19:18:58,7.9,31,146.6,6.2721
2017/9/11 19:18:59,7.9,31,146.3,6.2747
2017/9/11 19:19:00,7.9,31,145.9,6.2785
2017/9/11 19:19:01,7.9,31,145.5,6.2797
2017/9/11 19:19:02,7.9,31,145.6,6.2797
2017/9/11 19:19:03,7.9,31,145.9,6.258
2017/9/11 19:19:04,7.9,31,146.3,6.2674
2017/9/11 19:19:05,7.9,31,146.7,6.2756
2017/9/11 19:19:06,7.9,31,146.8,6.2779
2017/9/11 19:19:07,7.9,31,146.8,6.2817
2017/9/11 19:19:08,7.9,31,146.8,6.2697
2017/9/11 19:19:09,7.9,31,146.8,6.2621
2017/9/11 19:19:10,7.9,31,146.9,6.2735
2017/9/11 19:19:11,7.9,31,146.9,6.2773
2017/9/11 19:19:12,7.9,31,146.9,6.2785
2017/9/11 19:19:14,7.9,31,146.9,6.28
2017/9/11 19:19:15,7.9,31,146.9,6.2595
2017/9/11 19:19:16,7.9,31,146.9,6.2694
2017/9/11 19:19:17,7.9,31,146.7,6.2788
2017/9/11 19:19:18,7.9,31,146.8,6.28
2017/9/11 19:19:19,7.9,31,146.7,6.28
2017/9/11 19:19:20,7.9,31,146.7,6.2811
2017/9/11 19:19:21,7.9,31,146.9,6.27
2017/9/11 19:19:22,7.9,31,146.9,6.2574
2017/9/11 19:19:23,7.9,31,146.9,6.2724
2017/9/11 19:19:24,7.9,31,146.9,6.2765
2017/9/11 19:19:25,7.9,31,146.9,6.2776
2017/9/11 19:19:26,7.9,31,146.9,6.2803
2017/9/11 19:19:27,7.9,31,146.9,6.2574
2017/9/11 19:19:28,7.9,31,146.8,6.2659
2017/9/11 19:19:29,7.9,31,146.7,6.2727
2017/9/11 19:19:30,7.9,31,146.7,6.275
2017/9/11 19:19:31,7.9,31,146.8,6.28
2017/9/11 19:19:32,7.9,31,146.9,6.268
2017/9/11 19:19:33,7.9,31,146.9,6.2568
2017/9/11 19:19:34,7.9,31,146.8,6.27
2017/9/11 19:19:35,7.9,31,146.8,6.2732
2017/9/11 19:19:36,7.9,31,146.8,6.2732
2017/9/11 19:19:37,7.9,31,146.8,6.2767
2017/9/11 19:19:39,7.9,31,146.8,6.2797
2017/9/11 19:19:40,7.9,31,146.7,6.2568
2017/9/11 19:19:41,7.9,31,146.7,6.2656
2017/9/11 19:19:42,7.9,31,146.7,6.2753
2017/9/11 19:19:43,7.9,31,146.7,6.2732
2017/9/11 19:19:44,7.9,31,146.7,6.2776
2017/9/11 19:19:45,7.9,31,146.7,6.2677
2017/9/11 19:19:46,7.9,31,146.7,6.2574
2017/9/11 19:19:47,7.9,31,146.7,6.2724
2017/9/11 19:19:48,7.9,31,146.7,6.2753
2017/9/11 19:19:49,7.9,31,146.8,6.2765
2017/9/11 19:19:50,7.9,31,146.9,6.2779
2017/9/11 19:19:51,7.9,31,146.9,6.2571
2017/9/11 19:19:52,7.9,31,146.9,6.2624
2017/9/11 19:19:53,7.9,31,146.9,6.2727
2017/9/11 19:19:54,7.9,31,146.9,6.2727
2017/9/11 19:19:55,7.9,31,146.8,6.2721
2017/9/11 19:19:56,7.9,31,146.8,6.2779
2017/9/11 19:19:57,7.9,31,146.6,6.2691
2017/9/11 19:19:58,7.9,31,146.6,6.2574
2017/9/11 19:19:59,7.9,31,146.5,6.2709
2017/9/11 19:20:00,7.9,31,146.5,6.2703
2017/9/11 19:20:01,7.9,31,146.7,6.2724
2017/9/11 19:20:03,7.9,31,146.7,6.2785
